cd_orgao,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
88029,3,2017,55,2017,20,23,2.4,55.2
88029,3,2017,55,2017,21,92,5.15,473.8
55700,10,2017,69,2017,3,27,5,135
55700,10,2017,70,2017,1,50,1.5,75
55700,10,2017,70,2017,5,80,1.5,120
55700,10,2017,70,2017,6,77,2,154
55700,10,2017,70,2017,8,307,2.04,626.28
55700,10,2017,70,2017,10,73,4.59,335.07
55700,10,2017,70,2017,12,53,3.26,172.78
55700,10,2017,70,2017,16,58,1.5,87
55700,10,2017,70,2017,19,16,1.99,31.84
55700,10,2017,70,2017,20,50,1.12,56
55700,10,2017,70,2017,24,625,2.82,1762.5
55700,10,2017,70,2017,33,125,1,125
